Product,Category,Sub-Category,Unit Size,Pack Size,Manufacturer,Manufacturer Code,Distributors,Distributor Code,EO32 Eligible ,Certifications,NY Grown & Certified Verification,Product Info,Product Formulation Statement OR NY Grown & Certified Certificate,Retail Size Packs Available,Vegan,Distribution Notes,Notes,Record Last Modified,Vendor Contact List copy,Vendor Contact List copy,Vendor Contact List copy,Vendor Contact List copy,Update/Add Vendor Profile copy,Update/Add Vendor Profile copy,Update/Add Vendor Profile copy,Update/Add Vendor Profile copy,Vendor Contact List
"Hotdog, beef, 8:1",Protein,Meat,2 oz.,180/cs (30#/cs; 8/#),Slate Foods,SF1920-8-2,Slate Foods,,No,"NY Grown & Certified ,M/WBE",NY Grown and Certified Certificate Slate Foods.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/N2_U1HSyrnurqxB3Ds2r6g/ZHZXXS9NC9a9I958fMezcA4WWabB-HtgVVh0F5ciDk8D1rR6LBOEe0CZC6RVxCr0UNxEZuGQ9bbi-Eq362pddkIOgAqKblfzh7Kl9MkKtscpq3VSNx1yEOqPuuQODdlelbYlYAaPRHn-WFVzvuJmk0pt0yuXdgm8I1CeTOCibgEBgCzDuReioBgaPgki70m5/ZpubNHv_iuA33_ghc3OOVFz1gvJ2BphrSttGi7FzjZY),"Slate Foods Product List and All Product Nutritionals.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/cIHdYnC_EUaUi2WyEIe7Dw/3Bv7jd0UdjvPiapmbu47StMu2p1MQdIltl6BRrcMTFicFhXIGAJL2nv3zuz1gC4ERc69pwhZuChBgP62n8wJgVwsQIdnZjWWaFKMooI1NjI98Aal5E9Levb-0419NvEMBPSPsZtDsKIHB7UPc81uwB-7Lmky5sF8irGywq6De6otN5stJjaU_LyDQSEXGdWy/VrUhHCc1fO73LVAy-mYWib0TTpJzbuwmXmqDF_Wm5-Q),Slate Products with Detailed Specs.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/SF6W-kCGLpjdJsdi9cxCdw/AkF8AhjQpzUq_de3bk1F4KUIOZQ55SqqKgECpMPXShD1vlRDGvU2MvYBqam8NPlBfOOx4OIEuAMpDhHslu4zx_2t5dztAfK0V8sW96xiIGdpVWuU2gKbI2CXgbmg_gNE_8RR16ZaFEGUfx3DLh5ONhH5maz7u-ob3droBZVNh2c/e9CVdBH-1c5vZan78HaYONZPCR7Eh6jH2xYIywNuvkc)",,checked,,,,8/16/2024 1:38pm,,,Slate Foods,"""OGS, Downstate Distribution Center"", Behlog & Sons Produce, Big Apple Deli Products, Dagele Brothers Produce, Latina Boulevard, Renzi Foodservice, Sysco Albany, Victory Foods",,,,,
"Beef patty, 4 oz. ",Protein,Meat,4 oz.,120/cs (3/10#),Slate Foods,SF114,Slate Foods,,Can be upon request ,"NY Grown & Certified ,M/WBE",NY Grown and Certified Certificate Slate Foods.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/N2_U1HSyrnurqxB3Ds2r6g/ZHZXXS9NC9a9I958fMezcA4WWabB-HtgVVh0F5ciDk8D1rR6LBOEe0CZC6RVxCr0UNxEZuGQ9bbi-Eq362pddkIOgAqKblfzh7Kl9MkKtscpq3VSNx1yEOqPuuQODdlelbYlYAaPRHn-WFVzvuJmk0pt0yuXdgm8I1CeTOCibgEBgCzDuReioBgaPgki70m5/ZpubNHv_iuA33_ghc3OOVFz1gvJ2BphrSttGi7FzjZY),"Slate Foods Product List and All Product Nutritionals.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/cIHdYnC_EUaUi2WyEIe7Dw/3Bv7jd0UdjvPiapmbu47StMu2p1MQdIltl6BRrcMTFicFhXIGAJL2nv3zuz1gC4ERc69pwhZuChBgP62n8wJgVwsQIdnZjWWaFKMooI1NjI98Aal5E9Levb-0419NvEMBPSPsZtDsKIHB7UPc81uwB-7Lmky5sF8irGywq6De6otN5stJjaU_LyDQSEXGdWy/VrUhHCc1fO73LVAy-mYWib0TTpJzbuwmXmqDF_Wm5-Q),Slate Products with Detailed Specs.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/SF6W-kCGLpjdJsdi9cxCdw/AkF8AhjQpzUq_de3bk1F4KUIOZQ55SqqKgECpMPXShD1vlRDGvU2MvYBqam8NPlBfOOx4OIEuAMpDhHslu4zx_2t5dztAfK0V8sW96xiIGdpVWuU2gKbI2CXgbmg_gNE_8RR16ZaFEGUfx3DLh5ONhH5maz7u-ob3droBZVNh2c/e9CVdBH-1c5vZan78HaYONZPCR7Eh6jH2xYIywNuvkc)",,checked,,,,8/16/2024 1:38pm,,,Slate Foods,"""OGS, Downstate Distribution Center"", Behlog & Sons Produce, Big Apple Deli Products, Dagele Brothers Produce, Latina Boulevard, Renzi Foodservice, Sysco Albany, Victory Foods",,,,,
"Hotdog, beef, 6:1",Protein,Meat,2.68 oz.,240/cs (30#/cs; 6/#),Slate Foods,SF1920-6,Slate Foods,,No,"NY Grown & Certified ,M/WBE",NY Grown and Certified Certificate Slate Foods.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/N2_U1HSyrnurqxB3Ds2r6g/ZHZXXS9NC9a9I958fMezcA4WWabB-HtgVVh0F5ciDk8D1rR6LBOEe0CZC6RVxCr0UNxEZuGQ9bbi-Eq362pddkIOgAqKblfzh7Kl9MkKtscpq3VSNx1yEOqPuuQODdlelbYlYAaPRHn-WFVzvuJmk0pt0yuXdgm8I1CeTOCibgEBgCzDuReioBgaPgki70m5/ZpubNHv_iuA33_ghc3OOVFz1gvJ2BphrSttGi7FzjZY),"Slate Foods Product List and All Product Nutritionals.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/cIHdYnC_EUaUi2WyEIe7Dw/3Bv7jd0UdjvPiapmbu47StMu2p1MQdIltl6BRrcMTFicFhXIGAJL2nv3zuz1gC4ERc69pwhZuChBgP62n8wJgVwsQIdnZjWWaFKMooI1NjI98Aal5E9Levb-0419NvEMBPSPsZtDsKIHB7UPc81uwB-7Lmky5sF8irGywq6De6otN5stJjaU_LyDQSEXGdWy/VrUhHCc1fO73LVAy-mYWib0TTpJzbuwmXmqDF_Wm5-Q),Slate Products with Detailed Specs.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/SF6W-kCGLpjdJsdi9cxCdw/AkF8AhjQpzUq_de3bk1F4KUIOZQ55SqqKgECpMPXShD1vlRDGvU2MvYBqam8NPlBfOOx4OIEuAMpDhHslu4zx_2t5dztAfK0V8sW96xiIGdpVWuU2gKbI2CXgbmg_gNE_8RR16ZaFEGUfx3DLh5ONhH5maz7u-ob3droBZVNh2c/e9CVdBH-1c5vZan78HaYONZPCR7Eh6jH2xYIywNuvkc)",,,,,,8/16/2024 1:38pm,,,Slate Foods,"""OGS, Downstate Distribution Center"", Behlog & Sons Produce, Big Apple Deli Products, Dagele Brothers Produce, Latina Boulevard, Renzi Foodservice, Sysco Albany, Victory Foods",,,,,
"Beef, ground, bulk",Protein,Meat,5 lb.,30 lb. cs (6/5 lb.),Slate Foods,SF115,Slate Foods,,Can be upon request ,"NY Grown & Certified ,M/WBE",NY Grown and Certified Certificate Slate Foods.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/N2_U1HSyrnurqxB3Ds2r6g/ZHZXXS9NC9a9I958fMezcA4WWabB-HtgVVh0F5ciDk8D1rR6LBOEe0CZC6RVxCr0UNxEZuGQ9bbi-Eq362pddkIOgAqKblfzh7Kl9MkKtscpq3VSNx1yEOqPuuQODdlelbYlYAaPRHn-WFVzvuJmk0pt0yuXdgm8I1CeTOCibgEBgCzDuReioBgaPgki70m5/ZpubNHv_iuA33_ghc3OOVFz1gvJ2BphrSttGi7FzjZY),"Slate Foods Product List and All Product Nutritionals.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/cIHdYnC_EUaUi2WyEIe7Dw/3Bv7jd0UdjvPiapmbu47StMu2p1MQdIltl6BRrcMTFicFhXIGAJL2nv3zuz1gC4ERc69pwhZuChBgP62n8wJgVwsQIdnZjWWaFKMooI1NjI98Aal5E9Levb-0419NvEMBPSPsZtDsKIHB7UPc81uwB-7Lmky5sF8irGywq6De6otN5stJjaU_LyDQSEXGdWy/VrUhHCc1fO73LVAy-mYWib0TTpJzbuwmXmqDF_Wm5-Q),Slate Products with Detailed Specs.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/SF6W-kCGLpjdJsdi9cxCdw/AkF8AhjQpzUq_de3bk1F4KUIOZQ55SqqKgECpMPXShD1vlRDGvU2MvYBqam8NPlBfOOx4OIEuAMpDhHslu4zx_2t5dztAfK0V8sW96xiIGdpVWuU2gKbI2CXgbmg_gNE_8RR16ZaFEGUfx3DLh5ONhH5maz7u-ob3droBZVNh2c/e9CVdBH-1c5vZan78HaYONZPCR7Eh6jH2xYIywNuvkc)",,checked,,,,8/16/2024 1:38pm,,,Slate Foods,"""OGS, Downstate Distribution Center"", Behlog & Sons Produce, Big Apple Deli Products, Dagele Brothers Produce, Latina Boulevard, Renzi Foodservice, Sysco Albany, Victory Foods",,,,,
"Beef patty, 2.66 oz. ",Protein,Meat,2.66 oz.,180/cs (3/10#),Slate Foods,SF116,Slate Foods,,Can be upon request ,"NY Grown & Certified ,M/WBE",NY Grown and Certified Certificate Slate Foods.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/N2_U1HSyrnurqxB3Ds2r6g/ZHZXXS9NC9a9I958fMezcA4WWabB-HtgVVh0F5ciDk8D1rR6LBOEe0CZC6RVxCr0UNxEZuGQ9bbi-Eq362pddkIOgAqKblfzh7Kl9MkKtscpq3VSNx1yEOqPuuQODdlelbYlYAaPRHn-WFVzvuJmk0pt0yuXdgm8I1CeTOCibgEBgCzDuReioBgaPgki70m5/ZpubNHv_iuA33_ghc3OOVFz1gvJ2BphrSttGi7FzjZY),"Slate Foods Product List and All Product Nutritionals.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/cIHdYnC_EUaUi2WyEIe7Dw/3Bv7jd0UdjvPiapmbu47StMu2p1MQdIltl6BRrcMTFicFhXIGAJL2nv3zuz1gC4ERc69pwhZuChBgP62n8wJgVwsQIdnZjWWaFKMooI1NjI98Aal5E9Levb-0419NvEMBPSPsZtDsKIHB7UPc81uwB-7Lmky5sF8irGywq6De6otN5stJjaU_LyDQSEXGdWy/VrUhHCc1fO73LVAy-mYWib0TTpJzbuwmXmqDF_Wm5-Q),Slate Products with Detailed Specs.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/SF6W-kCGLpjdJsdi9cxCdw/AkF8AhjQpzUq_de3bk1F4KUIOZQ55SqqKgECpMPXShD1vlRDGvU2MvYBqam8NPlBfOOx4OIEuAMpDhHslu4zx_2t5dztAfK0V8sW96xiIGdpVWuU2gKbI2CXgbmg_gNE_8RR16ZaFEGUfx3DLh5ONhH5maz7u-ob3droBZVNh2c/e9CVdBH-1c5vZan78HaYONZPCR7Eh6jH2xYIywNuvkc)",,,,,,8/16/2024 1:38pm,,,Slate Foods,"""OGS, Downstate Distribution Center"", Behlog & Sons Produce, Big Apple Deli Products, Dagele Brothers Produce, Latina Boulevard, Renzi Foodservice, Sysco Albany, Victory Foods",,,,,
"Beef patty, 3 oz. ",Protein,Meat,3 oz.,150/cs (3/10#),Slate Foods,SF113,Slate Foods,,Can be upon request ,"NY Grown & Certified ,M/WBE",NY Grown and Certified Certificate Slate Foods.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/N2_U1HSyrnurqxB3Ds2r6g/ZHZXXS9NC9a9I958fMezcA4WWabB-HtgVVh0F5ciDk8D1rR6LBOEe0CZC6RVxCr0UNxEZuGQ9bbi-Eq362pddkIOgAqKblfzh7Kl9MkKtscpq3VSNx1yEOqPuuQODdlelbYlYAaPRHn-WFVzvuJmk0pt0yuXdgm8I1CeTOCibgEBgCzDuReioBgaPgki70m5/ZpubNHv_iuA33_ghc3OOVFz1gvJ2BphrSttGi7FzjZY),"Slate Foods Product List and All Product Nutritionals.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/cIHdYnC_EUaUi2WyEIe7Dw/3Bv7jd0UdjvPiapmbu47StMu2p1MQdIltl6BRrcMTFicFhXIGAJL2nv3zuz1gC4ERc69pwhZuChBgP62n8wJgVwsQIdnZjWWaFKMooI1NjI98Aal5E9Levb-0419NvEMBPSPsZtDsKIHB7UPc81uwB-7Lmky5sF8irGywq6De6otN5stJjaU_LyDQSEXGdWy/VrUhHCc1fO73LVAy-mYWib0TTpJzbuwmXmqDF_Wm5-Q),Slate Products with Detailed Specs.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/SF6W-kCGLpjdJsdi9cxCdw/AkF8AhjQpzUq_de3bk1F4KUIOZQ55SqqKgECpMPXShD1vlRDGvU2MvYBqam8NPlBfOOx4OIEuAMpDhHslu4zx_2t5dztAfK0V8sW96xiIGdpVWuU2gKbI2CXgbmg_gNE_8RR16ZaFEGUfx3DLh5ONhH5maz7u-ob3droBZVNh2c/e9CVdBH-1c5vZan78HaYONZPCR7Eh6jH2xYIywNuvkc)",,,,,,8/16/2024 1:38pm,,,Slate Foods,"""OGS, Downstate Distribution Center"", Behlog & Sons Produce, Big Apple Deli Products, Dagele Brothers Produce, Latina Boulevard, Renzi Foodservice, Sysco Albany, Victory Foods",,,,,
"Beef, tenderloin",Protein,Meat,2-2.5 lb.,Mixed case sizes,Slate Foods,SF118,Slate Foods,,Can be upon request ,"NY Grown & Certified ,M/WBE",NY Grown and Certified Certificate Slate Foods.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/N2_U1HSyrnurqxB3Ds2r6g/ZHZXXS9NC9a9I958fMezcA4WWabB-HtgVVh0F5ciDk8D1rR6LBOEe0CZC6RVxCr0UNxEZuGQ9bbi-Eq362pddkIOgAqKblfzh7Kl9MkKtscpq3VSNx1yEOqPuuQODdlelbYlYAaPRHn-WFVzvuJmk0pt0yuXdgm8I1CeTOCibgEBgCzDuReioBgaPgki70m5/ZpubNHv_iuA33_ghc3OOVFz1gvJ2BphrSttGi7FzjZY),"Slate Foods Product List and All Product Nutritionals.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/cIHdYnC_EUaUi2WyEIe7Dw/3Bv7jd0UdjvPiapmbu47StMu2p1MQdIltl6BRrcMTFicFhXIGAJL2nv3zuz1gC4ERc69pwhZuChBgP62n8wJgVwsQIdnZjWWaFKMooI1NjI98Aal5E9Levb-0419NvEMBPSPsZtDsKIHB7UPc81uwB-7Lmky5sF8irGywq6De6otN5stJjaU_LyDQSEXGdWy/VrUhHCc1fO73LVAy-mYWib0TTpJzbuwmXmqDF_Wm5-Q),Slate Products with Detailed Specs.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/SF6W-kCGLpjdJsdi9cxCdw/AkF8AhjQpzUq_de3bk1F4KUIOZQ55SqqKgECpMPXShD1vlRDGvU2MvYBqam8NPlBfOOx4OIEuAMpDhHslu4zx_2t5dztAfK0V8sW96xiIGdpVWuU2gKbI2CXgbmg_gNE_8RR16ZaFEGUfx3DLh5ONhH5maz7u-ob3droBZVNh2c/e9CVdBH-1c5vZan78HaYONZPCR7Eh6jH2xYIywNuvkc)",,checked,,,,8/16/2024 1:38pm,,,Slate Foods,"""OGS, Downstate Distribution Center"", Behlog & Sons Produce, Big Apple Deli Products, Dagele Brothers Produce, Latina Boulevard, Renzi Foodservice, Sysco Albany, Victory Foods",,,,,
"Beef, stew meat ",Protein,Meat,5 lb.,8/5 lb.,Slate Foods,SF128,Slate Foods,,Can be upon request ,"NY Grown & Certified ,M/WBE",NY Grown and Certified Certificate Slate Foods.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/N2_U1HSyrnurqxB3Ds2r6g/ZHZXXS9NC9a9I958fMezcA4WWabB-HtgVVh0F5ciDk8D1rR6LBOEe0CZC6RVxCr0UNxEZuGQ9bbi-Eq362pddkIOgAqKblfzh7Kl9MkKtscpq3VSNx1yEOqPuuQODdlelbYlYAaPRHn-WFVzvuJmk0pt0yuXdgm8I1CeTOCibgEBgCzDuReioBgaPgki70m5/ZpubNHv_iuA33_ghc3OOVFz1gvJ2BphrSttGi7FzjZY),"Slate Foods Product List and All Product Nutritionals.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/cIHdYnC_EUaUi2WyEIe7Dw/3Bv7jd0UdjvPiapmbu47StMu2p1MQdIltl6BRrcMTFicFhXIGAJL2nv3zuz1gC4ERc69pwhZuChBgP62n8wJgVwsQIdnZjWWaFKMooI1NjI98Aal5E9Levb-0419NvEMBPSPsZtDsKIHB7UPc81uwB-7Lmky5sF8irGywq6De6otN5stJjaU_LyDQSEXGdWy/VrUhHCc1fO73LVAy-mYWib0TTpJzbuwmXmqDF_Wm5-Q),Slate Products with Detailed Specs.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/SF6W-kCGLpjdJsdi9cxCdw/AkF8AhjQpzUq_de3bk1F4KUIOZQ55SqqKgECpMPXShD1vlRDGvU2MvYBqam8NPlBfOOx4OIEuAMpDhHslu4zx_2t5dztAfK0V8sW96xiIGdpVWuU2gKbI2CXgbmg_gNE_8RR16ZaFEGUfx3DLh5ONhH5maz7u-ob3droBZVNh2c/e9CVdBH-1c5vZan78HaYONZPCR7Eh6jH2xYIywNuvkc)",,checked,,,,8/16/2024 1:38pm,,,Slate Foods,"""OGS, Downstate Distribution Center"", Behlog & Sons Produce, Big Apple Deli Products, Dagele Brothers Produce, Latina Boulevard, Renzi Foodservice, Sysco Albany, Victory Foods",,,,,
"Meatballs, beef, fully cooked",Protein,Meat,.675oz,30lbs./cs (6/5#),Slate Foods,SFNY125,Slate Foods,,No,"NY Grown & Certified ,M/WBE",NY Grown and Certified Certificate Slate Foods.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/N2_U1HSyrnurqxB3Ds2r6g/ZHZXXS9NC9a9I958fMezcA4WWabB-HtgVVh0F5ciDk8D1rR6LBOEe0CZC6RVxCr0UNxEZuGQ9bbi-Eq362pddkIOgAqKblfzh7Kl9MkKtscpq3VSNx1yEOqPuuQODdlelbYlYAaPRHn-WFVzvuJmk0pt0yuXdgm8I1CeTOCibgEBgCzDuReioBgaPgki70m5/ZpubNHv_iuA33_ghc3OOVFz1gvJ2BphrSttGi7FzjZY),"Slate Foods Product List and All Product Nutritionals.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/cIHdYnC_EUaUi2WyEIe7Dw/3Bv7jd0UdjvPiapmbu47StMu2p1MQdIltl6BRrcMTFicFhXIGAJL2nv3zuz1gC4ERc69pwhZuChBgP62n8wJgVwsQIdnZjWWaFKMooI1NjI98Aal5E9Levb-0419NvEMBPSPsZtDsKIHB7UPc81uwB-7Lmky5sF8irGywq6De6otN5stJjaU_LyDQSEXGdWy/VrUhHCc1fO73LVAy-mYWib0TTpJzbuwmXmqDF_Wm5-Q),Slate Products with Detailed Specs.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/SF6W-kCGLpjdJsdi9cxCdw/AkF8AhjQpzUq_de3bk1F4KUIOZQ55SqqKgECpMPXShD1vlRDGvU2MvYBqam8NPlBfOOx4OIEuAMpDhHslu4zx_2t5dztAfK0V8sW96xiIGdpVWuU2gKbI2CXgbmg_gNE_8RR16ZaFEGUfx3DLh5ONhH5maz7u-ob3droBZVNh2c/e9CVdBH-1c5vZan78HaYONZPCR7Eh6jH2xYIywNuvkc)",,checked,,,,8/16/2024 1:38pm,,,Slate Foods,"""OGS, Downstate Distribution Center"", Behlog & Sons Produce, Big Apple Deli Products, Dagele Brothers Produce, Latina Boulevard, Renzi Foodservice, Sysco Albany, Victory Foods",,,,,
"Roast beef, plain",Protein,Meat,8lb/avg piece,40 lb./cs (est. 8 x 5 lb. pcs),Slate Foods,SFRB101,Slate Foods,,No,"NY Grown & Certified ,M/WBE",NY Grown and Certified Certificate Slate Foods.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/N2_U1HSyrnurqxB3Ds2r6g/ZHZXXS9NC9a9I958fMezcA4WWabB-HtgVVh0F5ciDk8D1rR6LBOEe0CZC6RVxCr0UNxEZuGQ9bbi-Eq362pddkIOgAqKblfzh7Kl9MkKtscpq3VSNx1yEOqPuuQODdlelbYlYAaPRHn-WFVzvuJmk0pt0yuXdgm8I1CeTOCibgEBgCzDuReioBgaPgki70m5/ZpubNHv_iuA33_ghc3OOVFz1gvJ2BphrSttGi7FzjZY),"Slate Foods Product List and All Product Nutritionals.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/cIHdYnC_EUaUi2WyEIe7Dw/3Bv7jd0UdjvPiapmbu47StMu2p1MQdIltl6BRrcMTFicFhXIGAJL2nv3zuz1gC4ERc69pwhZuChBgP62n8wJgVwsQIdnZjWWaFKMooI1NjI98Aal5E9Levb-0419NvEMBPSPsZtDsKIHB7UPc81uwB-7Lmky5sF8irGywq6De6otN5stJjaU_LyDQSEXGdWy/VrUhHCc1fO73LVAy-mYWib0TTpJzbuwmXmqDF_Wm5-Q),Slate Products with Detailed Specs.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/SF6W-kCGLpjdJsdi9cxCdw/AkF8AhjQpzUq_de3bk1F4KUIOZQ55SqqKgECpMPXShD1vlRDGvU2MvYBqam8NPlBfOOx4OIEuAMpDhHslu4zx_2t5dztAfK0V8sW96xiIGdpVWuU2gKbI2CXgbmg_gNE_8RR16ZaFEGUfx3DLh5ONhH5maz7u-ob3droBZVNh2c/e9CVdBH-1c5vZan78HaYONZPCR7Eh6jH2xYIywNuvkc)",,checked,,,,8/16/2024 1:38pm,,,,,,,,,
