Product,Category,Sub-Category,Unit Size,Pack Size,Manufacturer,Manufacturer Code,Distributors,Distributor Code,EO32 Eligible ,Certifications,NY Grown & Certified Verification,Product Info,Product Formulation Statement OR NY Grown & Certified Certificate,Retail Size Packs Available,Vegan,Distribution Notes,Notes,Record Last Modified,Vendor Contact List copy,Vendor Contact List copy,Vendor Contact List copy,Vendor Contact List copy,Update/Add Vendor Profile copy,Update/Add Vendor Profile copy,Update/Add Vendor Profile copy,Update/Add Vendor Profile copy,Vendor Contact List
"Applesauce,  Tropical, 4oz. Cup","Produce, Processed",Processed Fruit,4 oz.,6 pack x 12,Mott's,10084793,"Sysco Albany,Sysco Syracuse,Palmer Food Service,Maplevale,Latina Boulevard,Big Apple Deli Products,US Foods Buffalo,Driscoll Foods - Metro NY,Driscoll Foods - Upstate NY (Amsterdam),US Foods Albany",,Yes,NY Grown & Certified ,2020- NYS Mott's Certificate.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/VOQY2eq9UUq_zUDaRpJ41Q/vbSqp0E8Oti4bg4R-pK7NSizCfhOI0ZyqSkDZ_-a5mxzgS0Os2ygX39GTQDNZ_hzfMHxqZYC1t1xwG_vKt1K5a-E-S0ock_ieYrqH-zd8f61xg0xhQU2Ts4mmTMDzSHhKJpprimYAqVV8qxYxjv3kEaS-PXF7w-5Ymz4DlfKL9E/a7_kWs-6bgfGgMD2V8nJezsC3Leq39DlsqrYXJNLqNA),,,,,,,8/16/2024 12:02pm,,,Mott's,"Big Apple Deli Products, Ginsberg's Foods, Latina Boulevard, Maplevale, Palmer Food Service, Sysco Albany, Sysco Syracuse, US Foods Buffalo",,,,,
"Applesauce, Cherry, Unsweetened,  3.2oz. Pouch","Produce, Processed",Processed Fruit,3.2 oz.,12 pack x 4,Mott's,10125273,"Sysco Albany,Sysco Syracuse,Palmer Food Service,Maplevale,Latina Boulevard,Big Apple Deli Products,US Foods Buffalo,Driscoll Foods - Metro NY,Driscoll Foods - Upstate NY (Amsterdam),US Foods Albany",,Yes,NY Grown & Certified ,2020- NYS Mott's Certificate.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/VOQY2eq9UUq_zUDaRpJ41Q/vbSqp0E8Oti4bg4R-pK7NSizCfhOI0ZyqSkDZ_-a5mxzgS0Os2ygX39GTQDNZ_hzfMHxqZYC1t1xwG_vKt1K5a-E-S0ock_ieYrqH-zd8f61xg0xhQU2Ts4mmTMDzSHhKJpprimYAqVV8qxYxjv3kEaS-PXF7w-5Ymz4DlfKL9E/a7_kWs-6bgfGgMD2V8nJezsC3Leq39DlsqrYXJNLqNA),,,,,,,8/16/2024 12:03pm,,,Mott's,"Big Apple Deli Products, Ginsberg's Foods, Latina Boulevard, Maplevale, Palmer Food Service, Sysco Albany, Sysco Syracuse, US Foods Buffalo",,,,,
"Applesauce,  3.2oz. Pouch","Produce, Processed",Processed Fruit,3.2 oz.,4 pack x 6,Mott's,10124933,"Sysco Albany,Sysco Syracuse,Palmer Food Service,Maplevale,Latina Boulevard,Big Apple Deli Products,US Foods Buffalo,Driscoll Foods - Metro NY,Driscoll Foods - Upstate NY (Amsterdam),US Foods Albany",,Yes,NY Grown & Certified ,2020- NYS Mott's Certificate.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/VOQY2eq9UUq_zUDaRpJ41Q/vbSqp0E8Oti4bg4R-pK7NSizCfhOI0ZyqSkDZ_-a5mxzgS0Os2ygX39GTQDNZ_hzfMHxqZYC1t1xwG_vKt1K5a-E-S0ock_ieYrqH-zd8f61xg0xhQU2Ts4mmTMDzSHhKJpprimYAqVV8qxYxjv3kEaS-PXF7w-5Ymz4DlfKL9E/a7_kWs-6bgfGgMD2V8nJezsC3Leq39DlsqrYXJNLqNA),,,,,,,8/16/2024 12:03pm,,,Mott's,"Big Apple Deli Products, Ginsberg's Foods, Latina Boulevard, Maplevale, Palmer Food Service, Sysco Albany, Sysco Syracuse, US Foods Buffalo",,,,,
"Applesauce,  Strawberry, 3.2oz. Clear Pouch","Produce, Processed",Processed Fruit,3.2 oz.,12 pack x 4,Mott's,10132811,"Sysco Albany,Sysco Syracuse,Palmer Food Service,Maplevale,Latina Boulevard,Big Apple Deli Products,US Foods Buffalo,Driscoll Foods - Metro NY,Driscoll Foods - Upstate NY (Amsterdam),US Foods Albany",,Yes,NY Grown & Certified ,2020- NYS Mott's Certificate.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/VOQY2eq9UUq_zUDaRpJ41Q/vbSqp0E8Oti4bg4R-pK7NSizCfhOI0ZyqSkDZ_-a5mxzgS0Os2ygX39GTQDNZ_hzfMHxqZYC1t1xwG_vKt1K5a-E-S0ock_ieYrqH-zd8f61xg0xhQU2Ts4mmTMDzSHhKJpprimYAqVV8qxYxjv3kEaS-PXF7w-5Ymz4DlfKL9E/a7_kWs-6bgfGgMD2V8nJezsC3Leq39DlsqrYXJNLqNA),,,,,,,8/16/2024 12:03pm,,,Mott's,"Big Apple Deli Products, Ginsberg's Foods, Latina Boulevard, Maplevale, Palmer Food Service, Sysco Albany, Sysco Syracuse, US Foods Buffalo",,,,,
"Applesauce,  Mixed Berry, Unsweetened, 3.9oz. Cup","Produce, Processed",Processed Fruit,3.9 oz.,6 pack x 12,Mott's,10002287,"Sysco Albany,Sysco Syracuse,Palmer Food Service,Maplevale,Latina Boulevard,Big Apple Deli Products,US Foods Buffalo,Driscoll Foods - Metro NY,Driscoll Foods - Upstate NY (Amsterdam),US Foods Albany",,Yes,NY Grown & Certified ,2020- NYS Mott's Certificate.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/VOQY2eq9UUq_zUDaRpJ41Q/vbSqp0E8Oti4bg4R-pK7NSizCfhOI0ZyqSkDZ_-a5mxzgS0Os2ygX39GTQDNZ_hzfMHxqZYC1t1xwG_vKt1K5a-E-S0ock_ieYrqH-zd8f61xg0xhQU2Ts4mmTMDzSHhKJpprimYAqVV8qxYxjv3kEaS-PXF7w-5Ymz4DlfKL9E/a7_kWs-6bgfGgMD2V8nJezsC3Leq39DlsqrYXJNLqNA),,,,,,,8/16/2024 12:03pm,,,Mott's,"Big Apple Deli Products, Ginsberg's Foods, Latina Boulevard, Maplevale, Palmer Food Service, Sysco Albany, Sysco Syracuse, US Foods Buffalo",,,,,
"Applesauce,  Mixed Berry, 4oz. Cup","Produce, Processed",Processed Fruit,4 oz.,6 pack x 12,Mott's,10002274,"Sysco Albany,Sysco Syracuse,Palmer Food Service,Maplevale,Latina Boulevard,Big Apple Deli Products,US Foods Buffalo,Driscoll Foods - Metro NY,Driscoll Foods - Upstate NY (Amsterdam),US Foods Albany",,Yes,NY Grown & Certified ,2020- NYS Mott's Certificate.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/VOQY2eq9UUq_zUDaRpJ41Q/vbSqp0E8Oti4bg4R-pK7NSizCfhOI0ZyqSkDZ_-a5mxzgS0Os2ygX39GTQDNZ_hzfMHxqZYC1t1xwG_vKt1K5a-E-S0ock_ieYrqH-zd8f61xg0xhQU2Ts4mmTMDzSHhKJpprimYAqVV8qxYxjv3kEaS-PXF7w-5Ymz4DlfKL9E/a7_kWs-6bgfGgMD2V8nJezsC3Leq39DlsqrYXJNLqNA),,,,,,,8/16/2024 12:03pm,,,Mott's,"Big Apple Deli Products, Ginsberg's Foods, Latina Boulevard, Maplevale, Palmer Food Service, Sysco Albany, Sysco Syracuse, US Foods Buffalo",,,,,
"Applesauce, Cherry, Unsweetened,  3.9oz. Cup","Produce, Processed",Processed Fruit,3.9 oz.,6 pack x 12,Mott's,10108370,"Sysco Albany,Sysco Syracuse,Palmer Food Service,Maplevale,Latina Boulevard,Big Apple Deli Products,US Foods Buffalo,Driscoll Foods - Metro NY,Driscoll Foods - Upstate NY (Amsterdam),US Foods Albany",,Yes,NY Grown & Certified ,2020- NYS Mott's Certificate.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/VOQY2eq9UUq_zUDaRpJ41Q/vbSqp0E8Oti4bg4R-pK7NSizCfhOI0ZyqSkDZ_-a5mxzgS0Os2ygX39GTQDNZ_hzfMHxqZYC1t1xwG_vKt1K5a-E-S0ock_ieYrqH-zd8f61xg0xhQU2Ts4mmTMDzSHhKJpprimYAqVV8qxYxjv3kEaS-PXF7w-5Ymz4DlfKL9E/a7_kWs-6bgfGgMD2V8nJezsC3Leq39DlsqrYXJNLqNA),,,,,,,8/16/2024 12:03pm,,,Mott's,"Big Apple Deli Products, Ginsberg's Foods, Latina Boulevard, Maplevale, Palmer Food Service, Sysco Albany, Sysco Syracuse, US Foods Buffalo",,,,,
"Applesauce, 4oz. Cup","Produce, Processed",Processed Fruit,4 oz.,72 pack,Mott's,10002291,"Sysco Albany,Sysco Syracuse,Palmer Food Service,Maplevale,Latina Boulevard,Big Apple Deli Products,US Foods Buffalo,Driscoll Foods - Metro NY,Driscoll Foods - Upstate NY (Amsterdam),US Foods Albany",Sysco SUPC: 5523956,Yes,NY Grown & Certified ,2020- NYS Mott's Certificate.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/VOQY2eq9UUq_zUDaRpJ41Q/vbSqp0E8Oti4bg4R-pK7NSizCfhOI0ZyqSkDZ_-a5mxzgS0Os2ygX39GTQDNZ_hzfMHxqZYC1t1xwG_vKt1K5a-E-S0ock_ieYrqH-zd8f61xg0xhQU2Ts4mmTMDzSHhKJpprimYAqVV8qxYxjv3kEaS-PXF7w-5Ymz4DlfKL9E/a7_kWs-6bgfGgMD2V8nJezsC3Leq39DlsqrYXJNLqNA),,,,,,,8/16/2024 12:03pm,,,Mott's,"Big Apple Deli Products, Ginsberg's Foods, Latina Boulevard, Maplevale, Palmer Food Service, Sysco Albany, Sysco Syracuse, US Foods Buffalo",,,,,
"Applesauce,  Cinnamon, No Sugar, 3.9oz. Cup","Produce, Processed",Processed Fruit,3.9 oz.,6 pack x 12,Mott's,10127473,"Sysco Albany,Sysco Syracuse,Palmer Food Service,Maplevale,Latina Boulevard,Big Apple Deli Products,US Foods Buffalo,Driscoll Foods - Metro NY,Driscoll Foods - Upstate NY (Amsterdam),US Foods Albany",,Yes,NY Grown & Certified ,2020- NYS Mott's Certificate.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/VOQY2eq9UUq_zUDaRpJ41Q/vbSqp0E8Oti4bg4R-pK7NSizCfhOI0ZyqSkDZ_-a5mxzgS0Os2ygX39GTQDNZ_hzfMHxqZYC1t1xwG_vKt1K5a-E-S0ock_ieYrqH-zd8f61xg0xhQU2Ts4mmTMDzSHhKJpprimYAqVV8qxYxjv3kEaS-PXF7w-5Ymz4DlfKL9E/a7_kWs-6bgfGgMD2V8nJezsC3Leq39DlsqrYXJNLqNA),,,,,,,8/16/2024 12:03pm,,,Mott's,"Big Apple Deli Products, Ginsberg's Foods, Latina Boulevard, Maplevale, Palmer Food Service, Sysco Albany, Sysco Syracuse, US Foods Buffalo",,,,,
"Applesauce, Strawberry Kiwi,  Unsweetened, 3.2oz. Pouch","Produce, Processed",Processed Fruit,3.2 oz.,4 pack x 6,Mott's,10124939,"Sysco Albany,Sysco Syracuse,Palmer Food Service,Maplevale,Latina Boulevard,Big Apple Deli Products,US Foods Buffalo,Driscoll Foods - Metro NY,Driscoll Foods - Upstate NY (Amsterdam),US Foods Albany",,Yes,NY Grown & Certified ,2020- NYS Mott's Certificate.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/VOQY2eq9UUq_zUDaRpJ41Q/vbSqp0E8Oti4bg4R-pK7NSizCfhOI0ZyqSkDZ_-a5mxzgS0Os2ygX39GTQDNZ_hzfMHxqZYC1t1xwG_vKt1K5a-E-S0ock_ieYrqH-zd8f61xg0xhQU2Ts4mmTMDzSHhKJpprimYAqVV8qxYxjv3kEaS-PXF7w-5Ymz4DlfKL9E/a7_kWs-6bgfGgMD2V8nJezsC3Leq39DlsqrYXJNLqNA),,,,,,,8/16/2024 12:03pm,,,Mott's,"Big Apple Deli Products, Ginsberg's Foods, Latina Boulevard, Maplevale, Palmer Food Service, Sysco Albany, Sysco Syracuse, US Foods Buffalo",,,,,
"Applesauce, Unsweetened, 3.9oz.  Cup,","Produce, Processed",Processed Fruit,3.9 oz.,6 pack x 12,Mott's,10002263,"Sysco Albany,Sysco Syracuse,Palmer Food Service,Maplevale,Latina Boulevard,Big Apple Deli Products,US Foods Buffalo,Driscoll Foods - Metro NY,Driscoll Foods - Upstate NY (Amsterdam),US Foods Albany",Sysco SUPC: 5561626,Yes,NY Grown & Certified ,2020- NYS Mott's Certificate.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/VOQY2eq9UUq_zUDaRpJ41Q/vbSqp0E8Oti4bg4R-pK7NSizCfhOI0ZyqSkDZ_-a5mxzgS0Os2ygX39GTQDNZ_hzfMHxqZYC1t1xwG_vKt1K5a-E-S0ock_ieYrqH-zd8f61xg0xhQU2Ts4mmTMDzSHhKJpprimYAqVV8qxYxjv3kEaS-PXF7w-5Ymz4DlfKL9E/a7_kWs-6bgfGgMD2V8nJezsC3Leq39DlsqrYXJNLqNA),,,,,,,8/16/2024 12:03pm,,,Mott's,"Big Apple Deli Products, Ginsberg's Foods, Latina Boulevard, Maplevale, Palmer Food Service, Sysco Albany, Sysco Syracuse, US Foods Buffalo",,,,,
"Applesauce, Strawberry, 4oz.
  Cup, 72PK","Produce, Processed",Processed Fruit,4 oz.,72 pack,Mott's,10002293,"Sysco Albany,Sysco Syracuse,Palmer Food Service,Maplevale,Latina Boulevard,Big Apple Deli Products,US Foods Buffalo,Driscoll Foods - Metro NY,Driscoll Foods - Upstate NY (Amsterdam),US Foods Albany",USF: 5219902,Yes,NY Grown & Certified ,2020- NYS Mott's Certificate.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/VOQY2eq9UUq_zUDaRpJ41Q/vbSqp0E8Oti4bg4R-pK7NSizCfhOI0ZyqSkDZ_-a5mxzgS0Os2ygX39GTQDNZ_hzfMHxqZYC1t1xwG_vKt1K5a-E-S0ock_ieYrqH-zd8f61xg0xhQU2Ts4mmTMDzSHhKJpprimYAqVV8qxYxjv3kEaS-PXF7w-5Ymz4DlfKL9E/a7_kWs-6bgfGgMD2V8nJezsC3Leq39DlsqrYXJNLqNA),,,,,,,8/16/2024 11:37am,,,Mott's,"Big Apple Deli Products, Ginsberg's Foods, Latina Boulevard, Maplevale, Palmer Food Service, Sysco Albany, Sysco Syracuse, US Foods Buffalo",,,,,
"Applesauce,
  Unsweetened, 4.5oz. Cup, 72PK","Produce, Processed",Processed Fruit,4.5 oz.,72 pack,Mott's,10065615,"Sysco Albany,Sysco Syracuse,Palmer Food Service,Maplevale,Latina Boulevard,Big Apple Deli Products,US Foods Buffalo,Driscoll Foods - Metro NY,Driscoll Foods - Upstate NY (Amsterdam),US Foods Albany",Sysco SUPC: 4161475 | USF: 8551651,Yes,NY Grown & Certified ,2020- NYS Mott's Certificate.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/VOQY2eq9UUq_zUDaRpJ41Q/vbSqp0E8Oti4bg4R-pK7NSizCfhOI0ZyqSkDZ_-a5mxzgS0Os2ygX39GTQDNZ_hzfMHxqZYC1t1xwG_vKt1K5a-E-S0ock_ieYrqH-zd8f61xg0xhQU2Ts4mmTMDzSHhKJpprimYAqVV8qxYxjv3kEaS-PXF7w-5Ymz4DlfKL9E/a7_kWs-6bgfGgMD2V8nJezsC3Leq39DlsqrYXJNLqNA),,,,,,,8/16/2024 11:54am,,,Mott's,"Big Apple Deli Products, Ginsberg's Foods, Latina Boulevard, Maplevale, Palmer Food Service, Sysco Albany, Sysco Syracuse, US Foods Buffalo",,,,,
"Applesauce, No Sugar, Granny
  Smith, 3.2oz. Pouch, 12PKX4","Produce, Processed",Processed Fruit,3.2 oz.,12 pack x 4,Mott's,10125272,"Sysco Albany,Sysco Syracuse,Palmer Food Service,Maplevale,Latina Boulevard,Big Apple Deli Products,US Foods Buffalo,Driscoll Foods - Metro NY,Driscoll Foods - Upstate NY (Amsterdam),US Foods Albany",,Yes,NY Grown & Certified ,2020- NYS Mott's Certificate.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/VOQY2eq9UUq_zUDaRpJ41Q/vbSqp0E8Oti4bg4R-pK7NSizCfhOI0ZyqSkDZ_-a5mxzgS0Os2ygX39GTQDNZ_hzfMHxqZYC1t1xwG_vKt1K5a-E-S0ock_ieYrqH-zd8f61xg0xhQU2Ts4mmTMDzSHhKJpprimYAqVV8qxYxjv3kEaS-PXF7w-5Ymz4DlfKL9E/a7_kWs-6bgfGgMD2V8nJezsC3Leq39DlsqrYXJNLqNA),,,,,,,8/16/2024 12:00pm,,,Mott's,"Big Apple Deli Products, Ginsberg's Foods, Latina Boulevard, Maplevale, Palmer Food Service, Sysco Albany, Sysco Syracuse, US Foods Buffalo",,,,,
"Applesauce, No Sugar, Granny
  Smith, 3.2oz. Pouch, 4PKX6","Produce, Processed",Processed Fruit,3.2 oz.,12 pack x 4,Mott's,10124942 ,"Sysco Albany,Sysco Syracuse,Palmer Food Service,Maplevale,Latina Boulevard,Big Apple Deli Products,US Foods Buffalo,Driscoll Foods - Metro NY,Driscoll Foods - Upstate NY (Amsterdam),US Foods Albany",,Yes,NY Grown & Certified ,2020- NYS Mott's Certificate.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/VOQY2eq9UUq_zUDaRpJ41Q/vbSqp0E8Oti4bg4R-pK7NSizCfhOI0ZyqSkDZ_-a5mxzgS0Os2ygX39GTQDNZ_hzfMHxqZYC1t1xwG_vKt1K5a-E-S0ock_ieYrqH-zd8f61xg0xhQU2Ts4mmTMDzSHhKJpprimYAqVV8qxYxjv3kEaS-PXF7w-5Ymz4DlfKL9E/a7_kWs-6bgfGgMD2V8nJezsC3Leq39DlsqrYXJNLqNA),,,,,,,8/16/2024 12:00pm,,,Mott's,"Big Apple Deli Products, Ginsberg's Foods, Latina Boulevard, Maplevale, Palmer Food Service, Sysco Albany, Sysco Syracuse, US Foods Buffalo",,,,,
"Applesauce,
  Strawberry, No Sugar, 3.2oz. Pouch, 12PKX4","Produce, Processed",Processed Fruit,3.2 oz.,12 pack x 4,Mott's,10125271,"Sysco Albany,Sysco Syracuse,Palmer Food Service,Maplevale,Latina Boulevard,Big Apple Deli Products,US Foods Buffalo,Driscoll Foods - Metro NY,Driscoll Foods - Upstate NY (Amsterdam),US Foods Albany",,Yes,NY Grown & Certified ,2020- NYS Mott's Certificate.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/VOQY2eq9UUq_zUDaRpJ41Q/vbSqp0E8Oti4bg4R-pK7NSizCfhOI0ZyqSkDZ_-a5mxzgS0Os2ygX39GTQDNZ_hzfMHxqZYC1t1xwG_vKt1K5a-E-S0ock_ieYrqH-zd8f61xg0xhQU2Ts4mmTMDzSHhKJpprimYAqVV8qxYxjv3kEaS-PXF7w-5Ymz4DlfKL9E/a7_kWs-6bgfGgMD2V8nJezsC3Leq39DlsqrYXJNLqNA),,,,,,,8/16/2024 12:00pm,,,Mott's,"Big Apple Deli Products, Ginsberg's Foods, Latina Boulevard, Maplevale, Palmer Food Service, Sysco Albany, Sysco Syracuse, US Foods Buffalo",,,,,
"Applesauce, Strawberry, No
  Sugar, 3.2oz. Pouch, 4PKX6","Produce, Processed",Processed Fruit,3.2 oz.,4 pack x 6,Mott's,10124940,"Sysco Albany,Sysco Syracuse,Palmer Food Service,Maplevale,Latina Boulevard,Big Apple Deli Products,US Foods Buffalo,Driscoll Foods - Metro NY,Driscoll Foods - Upstate NY (Amsterdam),US Foods Albany",,Yes,NY Grown & Certified ,2020- NYS Mott's Certificate.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/VOQY2eq9UUq_zUDaRpJ41Q/vbSqp0E8Oti4bg4R-pK7NSizCfhOI0ZyqSkDZ_-a5mxzgS0Os2ygX39GTQDNZ_hzfMHxqZYC1t1xwG_vKt1K5a-E-S0ock_ieYrqH-zd8f61xg0xhQU2Ts4mmTMDzSHhKJpprimYAqVV8qxYxjv3kEaS-PXF7w-5Ymz4DlfKL9E/a7_kWs-6bgfGgMD2V8nJezsC3Leq39DlsqrYXJNLqNA),,,,,,,8/16/2024 12:00pm,,,Mott's,"Big Apple Deli Products, Ginsberg's Foods, Latina Boulevard, Maplevale, Palmer Food Service, Sysco Albany, Sysco Syracuse, US Foods Buffalo",,,,,
"Applesauce, 3.2oz. Pouch, 12PKX4","Produce, Processed",Processed Fruit,3.2 oz.,12 pack x 4,Mott's,10125269,"Sysco Albany,Sysco Syracuse,Palmer Food Service,Maplevale,Latina Boulevard,Big Apple Deli Products,US Foods Buffalo,Driscoll Foods - Metro NY,Driscoll Foods - Upstate NY (Amsterdam),US Foods Albany",,Yes,NY Grown & Certified ,2020- NYS Mott's Certificate.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/VOQY2eq9UUq_zUDaRpJ41Q/vbSqp0E8Oti4bg4R-pK7NSizCfhOI0ZyqSkDZ_-a5mxzgS0Os2ygX39GTQDNZ_hzfMHxqZYC1t1xwG_vKt1K5a-E-S0ock_ieYrqH-zd8f61xg0xhQU2Ts4mmTMDzSHhKJpprimYAqVV8qxYxjv3kEaS-PXF7w-5Ymz4DlfKL9E/a7_kWs-6bgfGgMD2V8nJezsC3Leq39DlsqrYXJNLqNA),,,,,,,8/16/2024 12:00pm,,,Mott's,"Big Apple Deli Products, Ginsberg's Foods, Latina Boulevard, Maplevale, Palmer Food Service, Sysco Albany, Sysco Syracuse, US Foods Buffalo",,,,,
"Applesauce, original unsweetened","Produce, Processed",Processed Fruit,4.5 oz,96/case,Peterson Farms,ASA10001,Dagele Brothers Produce,,No,NY Grown & Certified ,,Petersons applesauce spec sheet.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/wm4XWyzSObbBILO_khwu0A/XVTFlwDnGG8FCM0tNURIfEceMCWC_zWNqQb8M1Al1pcJyHwNaBglkLRaZ0qZNA5IRHfJTTHymjfejQaMekSPynqnfRgd2zSxxKoVt-fE5to3X3xMpc3iXn2IZAnq2QyW5w_fpZuAIjZKphrGekmQB--ARuM0uS4mxT2nYhF9P2zvbhfr7pXdMc5XWxY5BkEn/tIMv1QKblQ7mWH8U-4aefTTSN3F7VbAq5WThzCmPkGY),,,checked,,,8/20/2024 4:08pm,,,,,,,,,
"Applesauce, cinnamon","Produce, Processed",Processed Fruit,4.5 oz,96/case,Peterson Farms,ASA10013,Dagele Brothers Produce,,No,NY Grown & Certified ,,Petersons applesauce spec sheet.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/xqdbVljOyPJfiutSm-xuxw/p2SXolKbVKe3-CFAow9R4wP0akx_dQkZ891GfjWXgbnUqT1skkje881jqT-xORxo3TPLkP9hDwRwQBpEjKoD14Pqvhj76FAX94INYKdVbh1KtFrfEcpEPBscMSY2g5D76ZKjxjv_QZeKu2yro4xYy6lk1xdldSX27wUNXR_EQwaxpv3qV9u7tQILZcq87HNE/8QD0Gh0TmO8TvsLpYzfkOWMj1dqV7GGVNAR8w_xKD4c),,,checked,,,8/20/2024 4:08pm,,,,,,,,,
"Applesauce, peach","Produce, Processed",Processed Fruit,4.5 oz,96/case,Peterson Farms,ASA10017,Dagele Brothers Produce,,No,NY Grown & Certified ,,Petersons applesauce spec sheet.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/KJwdaVabT_v7dT-cYp9HZg/gHWWkPoAuYnUlVtocDobDye7AaSSpuq5ZyPeuV7B1uSKVF04g5a8hV-U_iEVb6ao_VDhk1MLRw2dPzh70rndM3nx6mOOY6XnkJK97B14s26iqmygSo8jBy2fXI83Q4QVEcVmu2CM-OUWjM9NhDVrX62Ghm2FBOcMdJrLhn8H3IReA33lWY3iBbesuEZcIiGk/uMirZCO4hS05au4X97fVwpBl4QMVEr1EyApRPS8sHto),,,checked,,,8/20/2024 4:08pm,,,,,,,,,
"Applesauce, strawberry banana","Produce, Processed",Processed Fruit,4.5 oz,96/case,Peterson Farms,ASA10015,Dagele Brothers Produce,,No,NY Grown & Certified ,Petersons applesauce spec sheet.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/9sicrCP-pWY12Cxl0kQNPg/RXkqrQ-uxsfw3W9wFlT5JyPNDmQ7GpsJg0zMdIBsyh3vbP85URV0G-2dqNuwqMiMXyC4n9kOjLa8OnS2dC1dtgHhrv7rrU4MnZSKnRouxNNkE0Tx22bP6r3tKoKaszK0kPrf6pkzavV3vuUxwUCqEUv2Nd-y41_4t_Tt8MwLoKLQK-HqMxziOdACewj1mMmX/K3602n758H6sFInwhnUcOBGlPH-GTkpP3hj7wBuhElQ),,,,checked,,,8/20/2024 4:08pm,,,,,,,,,
"Applesauce, bulk","Produce, Processed",Processed Fruit,3.8 gallon,,Trusted Harvest,,"Hudson Harvest,Antonnuci Foods",,No,,,,PFS-Apple Sauce - Hudson Harvest.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/S3e8IpV_M3CVagdWGXJ4tA/W5ZjvJuxWWbj-jf9BmpMdJ6PMiZI1jRLGGCzjvcyhAugqCWEMfuAMQMi7bT2ilSTohyRSm0UwMiS9ph_aO42wKMDcIh5OJgspKpAJpMi8MLY71Cc_zlcS5XPD67pLYEcMBWhr27V3Q2jbontdQKlWVh1sPawYINjiZ_oC4hCEmZM6lV8Y53TS1uC-oYY5OtY/VWO6A5pA9IIW73rSy2xTznw3Np98vFmLiknecxSYj5U),,checked,,,5/29/2025 11:46am,,,,,,,,,
"Applesauce Cup, Banana, No Added Sugar","Produce, Processed",Processed Fruit,4.5 oz. ,96/case,Zee Zee's,A1410,"American Fruit and Vegetable Co.,Renzi Foodservice,US Foods Albany,Driscoll Foods - Metro NY,Thurston Foods,Mivila Foods,Latina Boulevard,Ace Endico",,No,NY Grown & Certified ,NY Grown & Certified Certificate Zee Zees Apples.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/HopEQ7Y095aD8MMnIQJNTw/em3-JdG1EPNa5cbnG9jTuEhhj9Beyn_P3EHyNKVEqwKD1AABSde05F3uP9pPsQiP2KGKf143BNljItWyUCvBxFxMQ7IZDu4qSU_agmFcOUGB0r3nBodac_rvJE-0sC-W7LPmZ2TJlttAq2maE3BeOOtb25ZvJqvrsKivWfcuOEUroi3mPCS5NJEhSe9r-9OB/llZlXiPeGxjEBqZLlQ0ROpwCJo8sA6U1dkxbZnJqG84),2021_Zee Zees K12 Nutritional - Digital.pdf (https://v5.airtableusercontent.com/v3/u/42/42/1749600000000/cuUqpFFkuI0NcJ-0pH01Aw/PWizspsen8Oop7yC2ElCibdq-5xKIojvu1u7Lbp1jafLh3gkKlxntiRCvAZ0CppMp6jE8ZHHZbOXrPJhDEO-P_NtdawaFrQoRx8xchPRS0r344rb9sSyIfibZGZCJ8Q9tQQbAFmTthBi_wFwHg6P3a5Xz3e4CrUXxKm4iVCTr0muQDsIe9OwXBYgxVBnK5lR/f4wR34IxHk_ATdKgvFlQBYFvsoixMrJGgVuSSwGwLZc),,,,,,8/16/2024 10:16am,,,,,,,,,
