latitude,longitude,address,ny,beans_processor,wholesaler_distributor,primary_processor,secondary_processor,aggregator_cleaner,sold_to_nyc,mwbe,lrfs_business,outofstate_business,nyc_dashboard,simply_analytics,interview_data,sales_volume,total_employees,local_employees,locally_owned
40.852589,-73.390443,"100 Whitson Blvd
Islandia, NY 11749",1,1,1,0,1,0,1,0,0,0,1,0,0,NA,NA,NA,NA
40.81371067,-73.02003638,"1630 N Ocean Ave, Holtsville, NY 11742",1,0,1,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA
40.90010544,-74.26155288,"6 Westbelt
Wayne, NJ 07470",0,0,1,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA
42.92638904,-74.17210712,"105 Quist Rd, Amsterdam, NY 12010",1,0,1,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA
41.7250741,-74.41191542,"6055 Route 52, Ellenville, NY 12428",1,0,1,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA
40.77941746,-73.29214666,80 Wilshire Blvd Edgewood NY 11717,1,0,1,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA
42.2662037,-73.731335,"29 Ginsbergs Rd, Hudson, NY 12534",1,0,1,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA
43.2284106,-77.30610651,"6318 Ontario Center Rd, Ontario, NY 14519",1,NA,1,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA
44.18743498,-73.45101283,"6700 Main St, Westport, NY 12993",1,0,1,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA
42.09244413,-73.8225512,"1931 US-9, Germantown, NY 12526",1,0,1,0,0,1,0,0,1,0,0,0,0,NA,NA,NA,NA
40.81231886,-73.05154525,"700 Furrows Rd, Holtsville, New York 11742",1,0,1,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA
43.11077736,-77.69685422,"15 Airline Dr. Rochester, NY 14624",1,0,1,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA
