id,latitude,longitude,ny,wholesaler_distributor,harvester_processor,secondary_processor,auction,harvester_processor_scale,secondary_processor_scale,auction_scale,max_inv,lrfs_business,mwbe,sold_to_nyc,nys_product_purchased,sold_to_NYC,organic
10055,43.099572298104,-75.216257065311,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10056,43.170182626624,-76.302623897948,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10057,42.746402847988,-74.015209332966,1,0,1,1,0,0,0,0,0,0,0,0,0,NA,0
10058,41.98068740299,-73.804697501042,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10059,40.751347228368,-73.950595132333,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10060,42.718981881152,-77.264452690121,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10061,40.806204912953,-73.871041997208,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10062,42.960883380481,-73.392152239612,1,0,1,1,0,0,0,0,0,0,0,0,0,NA,0
10063,42.690463225002,-73.783222337516,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10064,42.8754567767,-78.828658734277,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10065,NA,NA,1,0,1,1,0,0,0,0,0,0,0,0,0,NA,0
10066,NA,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,NA,0
10067,42.727777496124,-74.335843605854,1,0,0,0,1,0,0,0,0,0,0,0,0,NA,0
10068,NA,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,NA,0
10069,43.03399830034,-74.354563571981,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10070,41.59662946458,-74.923726563251,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10071,40.806204912953,-73.871041997208,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10072,40.733580314666,-73.446070655814,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10073,43.111908154675,-78.918087668874,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10074,40.740710215968,-73.958563810251,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10075,40.750538402597,-73.501902095334,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10076,40.707453010509,-73.87576411075,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10077,NA,NA,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10078,40.710074483573,-73.93683088655,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10079,NA,NA,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10080,40.706679059436,-73.902876952543,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10081,42.887910822145,-78.841957154129,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10082,43.123534501133,-76.129144279896,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10083,40.719084734031,-73.734234429598,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10084,42.827433896933,-73.967331884955,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10085,40.806204912953,-73.871041997208,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10086,40.806204912953,-73.871041997208,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10087,44.648746547774,-75.049981209821,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10088,40.841723280599,-73.902355514624,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10089,40.806204912953,-73.871041997208,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10090,42.938068421724,-78.904006704173,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10091,40.665603190338,-73.779077448099,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10092,40.662210103008,-73.775148982608,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
10093,40.712023422615,-73.936998920536,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
