company_name,street_address,city,state,zip_code,ny,wholesaler_distributor,harvester_processor,secondary_processor,auction,harvester_processor_scale,secondary_processor_scale,auction_scale,max_inv,lrfs_business,mwbe,sold_to_nyc,nys_product_purchased,sold_to_NYC,organic,address,latitude,longitude
Aztec Imperio,971 Intervale Ave,Bronx,NY,10459,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"971 Intervale Ave, Bronx, NY 10459",40.822240110912,-73.896953607403
B.K. Transfer (Barbara E. Kelley),5324 County Road 14,Odessa,NY,14869,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,"5324 County Road 14, Odessa, NY 14869",42.311468446582,-76.760450200273
BURLY BROTHERS COUNTRY BUTCHERY,4154 E Main Street Rd,Attica,NY,14011,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,"4154 E Main Street Rd, Attica, NY 14011",42.860730026968,-78.2083099057
"Bare Bones Butchering, LLC",5786 County Route 17,Friendship,NY,14739,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,"5786 County Route 17, Friendship, NY 14739",42.252424815085,-78.147549781079
Beech-Nut Nutrition Corporation,1 Nutritious Place,Amsterdam,NY,12010,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,"1 Nutritious Place, Amsterdam, NY 12010",42.940281803226,-74.228125630984
Berger Wholesale Meat Co.,13 New Street,Huntington,NY,11743,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,"13 New Street, Huntington, NY 11743",40.870509168978,-73.427388629968
Berk Lombardo Packing Co.. Inc.,50 Constance Court,Hauppauge,NY,11788,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,"50 Constance Court, Hauppauge, NY 11788",40.812258053206,-73.225382706058
"Berkshire View Custom Cut Meats, LLC",838 Alcove Road,Hannacroix,NY,12087,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,"838 Alcove Road, Hannacroix, NY 12087",42.438792985755,-73.911931808971
Big Mouth/Cudlins,8 Cox Road,Newfield,NY,14867,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,"8 Cox Road, Newfield, NY 14867",42.347127848215,-76.617382704209
"Bills Market, Inc.",2095 Route 336,Romulus,NY,14531,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,"2095 Route 336, Romulus, NY 14531",42.808400052576,-76.82586506797
Bimmy's Food Made With Love,4700 33rd Street 2nd Floor,Long Island City,NY,11101,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,"4700 33rd Street 2nd Floor, Long Island City, NY 11101",40.742610670175,-73.932168672639
Blue Star Meat Corp.,520 Craven Street,Bronx,NY,10474,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,"520 Craven Street, Bronx, NY 10474",40.809776960554,-73.89194109298
Bonavista foods Inc.,2033 State Route 96A,Ovid,NY,14521,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,"2033 State Route 96A, Ovid, NY 14521",42.680963991527,-76.831039244696
Borenstein Caterers Inc.,179-29 150th Road,Jamaica,NY,11434,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,"179-29 150th Road, Jamaica, NY 11434",40.656260778509,-73.766892479688
"Bostrom Farms, LLC",2200 State Routes 5 and 20,Stanley,NY,14561,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,"2200 State Routes 5 and 20, Stanley, NY 14561",42.857899985405,-77.106543829185
Brother's Halal Meat Packing,56 Railroad Avenue,Stamford,NY,12167,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,"56 Railroad Avenue, Stamford, NY 12167",42.406746744544,-74.61996278509
"Buffalo SAV, Inc.",1550 William Street,Buffalo,NY,14206,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,"1550 William Street, Buffalo, NY 14206",42.884840408512,-78.814095785214
Burly Brothers Country Butchery,4154 East Main Street,Attica,NY,14011,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,"4154 East Main Street, Attica, NY 14011",42.860730026968,-78.2083099057
CAFE SPICE LLC,677 LITTLE BRITAIN ROAD,NEW WINDSOR,NY,12553,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,"677 LITTLE BRITAIN ROAD, NEW WINDSOR, NY 12553",41.490252613932,-74.062226180543007
CYRE Inc.,876 Neighborhood Road,Lake Katrine,NY,12449,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"876 Neighborhood Road, Lake Katrine, NY 12449",41.977754313956,-73.997270348016
"Cafe Spice, LLC",511 Fishkill Avenue,Beacon,NY,12508,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"511 Fishkill Avenue, Beacon, NY 12508",41.51707293216,-73.944808969502
Cambridge Valley Livestock Market Inc (CVLM),2147 NY-22,Cambridge,NY,12816,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,"2147 NY-22, Cambridge, NY 12816",43.049848500564,-73.372647226525
"Camellia General Provision Co., Inc.",1333 Genesee Street,Buffalo,NY,14211,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"1333 Genesee Street, Buffalo, NY 14211",42.905795229542,-78.830638357954
Canandaigua Stockyards Inc,3865 Routes 5 and 20,Canandaigua,NY,14424,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,"3865 Routes 5 and 20, Canandaigua, NY 14424",42.863404441637,-77.210728924996
Caribbean Food Delights,117 Route 303,Tappan,NY,10983,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"117 Route 303, Tappan, NY 10983",41.033215875649,-73.945154683644
"Casanova Market, Inc.",430 Wireless Boulevard,Hauppauge,NY,11788,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"430 Wireless Boulevard, Hauppauge, NY 11788",40.813657369619,-73.258855641834
