company_name,address,latitude,longitude,ny,wholesaler_distributor,harvester_processor,secondary_processor,auction,harvester_processor_scale,secondary_processor_scale,auction_scale,max_inv,lrfs_business,mwbe,sold_to_nyc,nys_product_purchased,sold_to_NYC,organic
"Constance Food Group, DBA Norris Food Services, LLC","545 Johnson Avenue Suite 10, Bohemia, NY 11716",40.776521140776,-73.094517704601,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
"Copper City Meats, DBA Gold Medal Packing","8269 River Road, Rome, NY 13440",43.190584769899,-75.340645727755,1,0,1,1,0,0,0,0,0,0,0,0,0,NA,0
"Crescent Prime Cuts, Ltd.","1970 New Highway, Farmingdale, NY 11735",40.755724652705,-73.414960752181,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
"Crescent Specialty Foods, LLC","30 Central Avenue, Farmingdale, NY 11735",40.753050561017,-73.413134349286,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
"Croghan Meat Market ,Inc.","9824 State Route 812, Croghan, NY 13327",43.89536264293,-75.392382437972,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
"Crown I Foods, Inc.","85 Saxon Avenue, Bay Shore, NY 11706",40.734569015113,-73.228545455157,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
"Cup and Char Pepperoni, Inc.","81 Dingens Street, Buffalo, NY 14206",42.877824545006,-78.813081677429,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
D'Empanadas,"1110 Rogers Avenue, Brooklyn, NY 11226",40.642780448131,-73.951698174999,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
DAIRY MAID RAVIOLI MFG. CORP.,"214 AVENUE U, BROOKLYN, NY 11223",40.596594706185,-73.976168103147,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
Damn Good Foods Inc.,"1002 Hudson Ave., Stillwater, NY 12170",42.947004565852,-73.64536751182,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
Damn Good Foods Inc.,"7 Tent Lane, Stillwater, NY 12170",42.954247901046,-73.636451238996,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
"David Mosner, Inc.","355 Food Center Drive, Bronx, NY 10474",40.806204912953,-73.871041997208,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
Davis Bros. Inc.,"4521 County Route 4, Oswego, NY 13126",43.447486791255,-76.468041729394,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
Davis Livestock Sales,"952 US-11, Gouverneur, NY 13642",44.311848078562,-75.498257209577,1,0,0,0,1,0,0,0,0,0,0,0,0,NA,0
DeSola Provisions Corp.,"355 Food Center Drive Building B18, Bronx, NY 10474",40.806204912953,-73.871041997208,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
"Del Caribe Meat, Inc","1212 Brook Avenue, Bronx, NY 10456",40.831310944445,-73.909104163078,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
Delicious Specialty Foods Corp.,"1698 Main Street 1st Floor, Peekskill, NY 10566",41.293725553621,-73.907404087277,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
"Dim Sum Factory, Inc.","15011 14th Avenue, Whitestone, NY 11357",40.788960071939,-73.813536465511,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
"Dim Sum Factory, Inc.","4235 Main Street Unit CC, Flushing, NY 11355",40.75437951929,-73.827798823617,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
"Dino's Sausage & Meat Co., Inc.","722 Catherine Street, UTICA, NY 13501",43.099572298104,-75.216257065311,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
"Diverse Food Products, LLC","8242 Loop Road, Baldwinsville, NY 13027",43.170182626624,-76.302623897948,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
Double L Ranch Inc.,"7181 Dunnsville Road, Altamont, NY 12009",42.746402847988,-74.015209332966,1,0,1,1,0,0,0,0,0,0,0,0,0,NA,0
"Down the Road Butchery, LLC","174 Battenfield Road, Milan, NY 12571",41.98068740299,-73.804697501042,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
DuFour Gourmet,"4337 9th Street, Long Island City, NY 11101",40.751347228368,-73.950595132333,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
Dudley Poultry Company,"910 State Route 245, Middlesex, NY 14507",42.718981881152,-77.264452690121,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
"E123 Enterprises, LLC","355 Food Center Drive E3, Bronx, NY 10474",40.806204912953,-73.871041997208,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
Eagle Bridge Custom Meat and Smokehouse,"139 Center Road, Eagle Bridge, NY 12057",42.960883380481,-73.392152239612,1,0,1,1,0,0,0,0,0,0,0,0,0,NA,0
"Edelweiss Meat Company, LLC","12 Old Myers Drive, Albany, NY 12205",42.690463225002,-73.783222337516,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
"Elk Provision Co., Inc.","1260 Clinton Street, Buffalo, NY 14206",42.8754567767,-78.828658734277,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
Empire Custom Processing LLC,"430 NYS Route 8, Bridgewater, NY 13313",NA,NA,1,0,1,1,0,0,0,0,0,0,0,0,0,NA,0
Empire Livestock Marketing,"7418 NY-415, Bath, NY 14810",NA,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,NA,0
Empire Livestock Marketing,"872 NY-30A, Central Bridge, NY 12035",42.727777496124,-74.335843605854,1,0,0,0,1,0,0,0,0,0,0,0,0,NA,0
Empire Livestock Marketing,"11 Ruth St, Vernon, NY 13476",NA,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,NA,0
"Espuna, LLC","20 Harrison Street, Gloversville, NY 12078",43.03399830034,-74.354563571981,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
"European Food Market, LLC","364 Ryer Road, Narrowsburg, NY 12764",41.59662946458,-74.923726563251,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
F-16 Custom Cuts LLC,"355 Food Center Drive Unit F16, Bronx, NY 10474",40.806204912953,-73.871041997208,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
"Farmingdale Meat Market, Inc., DBA Main Street Wholesale Meats","210 Main Street, Farmingdale, NY 11735",40.733580314666,-73.446070655814,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
"Finger Food Products, LLC","6400 Inducon Drive West, Sanborn, NY 14132",43.111908154675,-78.918087668874,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
"Five Goods, Inc.","239 54th Avenue, Long Island City, NY 11101",40.740710215968,-73.958563810251,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
"Five Star Food Products, Inc.","999 South Oyster Bay Road Building 400, Bethpage, NY 11714",40.750538402597,-73.501902095334,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
"Five Star Meat, Inc., DBA Emir Halal","69-80 75th Street, Middle Village, NY 11379",40.707453010509,-73.87576411075,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
"Fleish Yavesh, Inc.","11 Prospect Ave., Hewlett, NY 11557",NA,NA,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
Flushing Meat,"306 Stagg Street, Brooklyn, NY 11206",40.710074483573,-73.93683088655,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
Ford Brothers Wholesale Meats Inc,"9129 Rt 219, West Valley, NY 14171",NA,NA,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
"Forest Pork Store, Inc.","6639 Forest Avenue, Ridgewood, NY 11385",40.706679059436,-73.902876952543,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,0
