latitude,longitude,company_name,street_address,city,state,zip_code,ny,wholesaler_distributor,harvester_processor,secondary_processor,harvester_processor_scale,secondary_processor_scale,max_inv,lrfs_business,mwbe,sold_to_nyc,nys_product_purchased,sold_to_NYC,organic,address
41.033215875649,-73.945154683644,Caribbean Food Delights,117 Route 303,Tappan,NY,10983,1,0,0,1,0,0,0,0,0,0,0,NA,0,"117 Route 303, Tappan, NY 10983"
40.813657369619,-73.258855641834,"Casanova Market, Inc.",430 Wireless Boulevard,Hauppauge,NY,11788,1,0,0,1,0,0,0,0,0,0,0,NA,0,"430 Wireless Boulevard, Hauppauge, NY 11788"
42.275430288327,-74.919320289495,Catskill Food Company LLC,53 Main Street,Delhi,NY,13753,1,0,0,1,0,0,0,0,0,0,0,NA,0,"53 Main Street, Delhi, NY 13753"
40.711339989626,-73.556006439383,Cavo Greco Foods,532 East Meadow Avenue,East Meadow,NY,11554,1,0,0,1,0,0,0,0,0,0,0,NA,0,"532 East Meadow Avenue, East Meadow, NY 11554"
40.647229527188,-73.929822156334,Chef's Choice Cash & Carry Food Distribution Inc,1051 Utica Avenue,Brooklyn,NY,11203,1,0,0,1,0,0,0,0,0,0,0,NA,0,"1051 Utica Avenue, Brooklyn, NY 11203"
40.719906184084,-73.959687269473,"Chef's Delight Packing Co., Inc.",94 North 8th Street,Brooklyn,NY,11211,1,0,0,1,0,0,0,0,0,0,0,NA,0,"94 North 8th Street, Brooklyn, NY 11211"
40.740044883048,-73.947510940839,Chihuly,2301 Borden Avenue,Long Island City,NY,11101,1,0,0,1,0,0,0,0,0,0,0,NA,0,"2301 Borden Avenue, Long Island City, NY 11101"
40.776521140776,-73.094517704601,"Constance Food Group, DBA Norris Food Services, LLC",545 Johnson Avenue Suite 10,Bohemia,NY,11716,1,0,0,1,0,0,0,0,0,0,0,NA,0,"545 Johnson Avenue Suite 10, Bohemia, NY 11716"
43.190584769899,-75.340645727755,"Copper City Meats, DBA Gold Medal Packing",8269 River Road,Rome,NY,13440,1,0,1,1,0,0,0,0,0,0,0,NA,0,"8269 River Road, Rome, NY 13440"
40.755724652705,-73.414960752181,"Crescent Prime Cuts, Ltd.",1970 New Highway,Farmingdale,NY,11735,1,0,0,1,0,0,0,0,0,0,0,NA,0,"1970 New Highway, Farmingdale, NY 11735"
